Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm
Station,2009,stn,stn_20470,Training,CA,11,385955.2683,3790247.871,1,2013/12/12,987.390838,12/10/09 22:16,12/13/09 5:17,55.017,84,1.53,10.4,8.8,6.6,0.5705087,0.515067444,0.132121368,0.2399999,2.6,4.4,6.6
Station,2009,stn,stn_20470,Training,CA,11,385955.2683,3790247.871,0,2013/11/13,987.390838,11/12/09 22:17,11/12/09 22:45,0.483,4.6,9.52,17.6,NaN,NaN,0.5705087,0.515067444,0.132121368,0.2399999,4.4,NaN,NaN
Station,2009,stn,stn_20600,Training,CA,11,388400.2683,3788182.871,1,2014/01/18,1798.49,1/17/10 15:24,1/18/10 23:44,32.333,60.45,1.87,14.22,11.18,10.16,1.770165,0.636924591,0.18217067,0.2399997,3.555,5.59,10.16
Station,2009,stn,stn_20600,Training,CA,11,388400.2683,3788182.871,0,2014/01/20,1798.49,1/20/10 4:00,1/20/10 18:18,14.3,33.02,2.31,10.16,6.6,6.6,1.770165,0.636924591,0.18217067,0.2399997,2.54,3.3,6.6
Station,2009,stn,stn_20600,Training,CA,11,388400.2683,3788182.871,0,2014/01/23,1798.49,1/21/10 3:57,1/23/10 0:30,44.55,41.4,0.93,27.43,14.73,8.13,1.770165,0.636924591,0.18217067,0.2399997,6.8575,7.365,8.13
Station,2009,stn,stn_20600,Training,CA,11,388400.2683,3788182.871,0,2013/12/12,2091.09,12/10/09 22:30,12/13/09 11:27,60.95,174.6,2.86464315,27.2,23.2,17.2,1.770165,0.636924591,0.18217067,0.2399997,6.8,11.6,17.2
Station,2009,stn,stn_20600,Training,CA,11,388400.2683,3788182.871,0,2013/11/13,2091.09,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,1.770165,0.636924591,0.18217067,0.2399997,10.8,16.4,28.2
Station,2009,stn,stn_2064,Training,CA,11,400782.7683,3807975.371,0,2013/12/12,2506.69,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,1.1426001,0.644126205,0.275829834,0.1500002,2,3.4,5.6
Station,2009,stn,stn_2064,Training,CA,11,400782.7683,3807975.371,0,2013/11/13,2506.69,NaN,NaN,0,0,0,NaN,NaN,NaN,1.1426001,0.644126205,0.275829834,0.1500002,NaN,NaN,NaN
Station,2009,stn,stn_2064,Training,CA,11,400782.7683,3807975.371,0,2014/01/18,2506.69,1/17/10 15:53,1/18/10 15:00,23.117,21.2,0.92,5.6,4,3.2,1.1426001,0.644126205,0.275829834,0.1500002,1.4,2,3.2
Station,2009,stn,stn_2064,Training,CA,11,400782.7683,3807975.371,0,2014/01/20,2506.69,1/19/10 7:28,1/19/10 16:32,9.083,5.6,0.62,8.8,5.2,3.6,1.1426001,0.644126205,0.275829834,0.1500002,2.2,2.6,3.6
Station,2009,stn,stn_2064,Training,CA,11,400782.7683,3807975.371,0,2014/01/23,2506.69,1/21/10 4:19,1/21/10 16:47,12.467,14.8,1.19,4.8,4.8,4.4,1.1426001,0.644126205,0.275829834,0.1500002,1.2,2.4,4.4
Station,2009,stn,stn_20791,Training,CA,11,388962.7683,3787565.371,0,2013/12/12,1788.6,NaN,NaN,0,0,0,NaN,NaN,NaN,0.4983857,0.450524216,0.095807259,0.2389937,NaN,NaN,NaN
Station,2009,stn,stn_20791,Training,CA,11,388962.7683,3787565.371,0,2013/11/13,2037.05,11/12/09 23:12,11/13/09 8:13,9.01666667,28.2,3.12754159,43.2,32.8,28.2,0.4983857,0.450524216,0.095807259,0.2389937,10.8,16.4,28.2
Station,2009,stn,stn_2209,Training,CA,11,400895.2683,3807745.371,0,2013/12/12,2244.69,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,0.0393591,0.402350769,0.171303955,0.15,2,3.4,5.6
Station,2009,stn,stn_2209,Training,CA,11,400895.2683,3807745.371,0,2013/11/13,2244.69,NaN,NaN,0,0,0,NaN,NaN,NaN,0.0393591,0.402350769,0.171303955,0.15,NaN,NaN,NaN
Station,2009,stn,stn_2345,Training,CA,11,401075.2683,3807585.371,0,2013/12/12,2100.49,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,0.0563857,0.646401291,0.120731918,0.15,2,3.4,5.6
Station,2009,stn,stn_2345,Training,CA,11,401075.2683,3807585.371,0,2013/11/13,2100.49,NaN,NaN,0,0,0,NaN,NaN,NaN,0.0563857,0.646401291,0.120731918,0.15,NaN,NaN,NaN
Station,2009,stn,stn_2464,Training,CA,11,401252.7683,3807475.371,0,2013/12/12,2089.53,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,0.0310733,0.63952858,0.104774437,0.15,2,3.4,5.6
Station,2009,stn,stn_2464,Training,CA,11,401252.7683,3807475.371,0,2013/11/13,2089.53,NaN,NaN,0,0,0,NaN,NaN,NaN,0.0310733,0.63952858,0.104774437,0.15,NaN,NaN,NaN
Station,2009,stn,stn_2465,Training,CA,11,401290.2683,3807422.871,0,2013/12/12,2033.72,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,0.2892222,0.726213989,0.296566101,0.1499999,2,3.4,5.6
Station,2009,stn,stn_2465,Training,CA,11,401290.2683,3807422.871,0,2013/11/13,2033.72,NaN,NaN,0,0,0,NaN,NaN,NaN,0.2892222,0.726213989,0.296566101,0.1499999,NaN,NaN,NaN
Station,2009,stn,stn_2842,Training,CA,11,401602.7683,3806965.371,0,2013/12/12,1810.22,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,0.1078727,0.599107971,0.190648956,0.15,2,3.4,5.6
Station,2009,stn,stn_2933,Training,CA,11,401655.2683,3806792.871,0,2013/12/12,1730.38,12/10/09 21:21,12/13/09 5:08,55.8,29,0.52,8,6.8,5.6,2.5204358,0.75745079,0.470333099,0.15,2,3.4,5.6
